,0,-5,-10,-15,-20,-25,-30,-35,-40
0,13.12,10.0125,6.9049999999999985,3.7974999999999977,0.6899999999999977,-2.417500000000002,-5.525000000000004,-8.632500000000002,-11.740000000000004
2,0.41644524011885764,-4.906076511109319,-10.228598262337496,-15.551120013565672,-20.87364176479385,-26.196163516022025,-31.518685267250206,-36.84120701847838,-42.16372876970655
4,-1.0735183410113276,-6.655833654208774,-12.23814896740622,-17.820464280603666,-23.402779593801114,-28.985094906998558,-34.56741022019601,-40.14972553339345,-45.73204084659089
6,-2.0248391361124742,-7.773028985483009,-13.521218834853546,-19.269408684224082,-25.017598533594615,-30.76578838296515,-36.51397823233569,-42.26216808170622,-48.010357931076754
8,-2.7382354864041094,-8.610814804943788,-14.483394123483468,-20.35597344202315,-26.228552760562827,-32.1011320791025,-37.973711397642184,-43.84629071618187,-49.71887003472155
10,-3.314650193381196,-9.287734538884997,-15.2608188843888,-21.233903229892604,-27.206987575396404,-33.180071920900204,-39.15315626640401,-45.126240611907804,-51.09932495741161
12,-3.801133974951261,-9.859042779290828,-15.916951583630397,-21.97486038796996,-28.03276919230953,-34.0906779966491,-40.14858680098867,-46.20649560532823,-52.2644044096678
14,-4.223667956524329,-10.355250781837388,-16.486833607150448,-22.61841643246351,-28.749999257776565,-34.881582083089626,-41.013164908402686,-47.14474773371575,-53.27633055902881
16,-4.5982025414797665,-10.795090099833649,-16.991977658187533,-23.188865216541416,-29.385752774895295,-35.582640333249174,-41.77952789160307,-47.976415449956946,-54.173303008310825
18,-4.935273251789413,-11.190933253695526,-17.44659325560164,-23.702253257507756,-29.95791325941387,-36.21357326131998,-42.4692332632261,-48.72489326513221,-54.98055326703833
